student_id,last_name,first_name,email,date_of_birth,hometown,math_score,literature_score
SV001,Nguyen1,Student1,student1@example.com,2003-03-25,Ha Noi,6.7,9.2
SV002,Nguyen2,Student2,student2@example.com,2002-04-08,Ha Noi,5.9,9.5
SV003,Nguyen3,Student3,student3@example.com,2005-01-31,Ha Noi,7.8,4.2
SV004,Nguyen4,Student4,student4@example.com,2001-03-14,Ha Noi,9.0,9.4
SV005,Nguyen5,Student5,student5@example.com,1998-06-07,Ha Noi,8.6,10.0
SV006,Nguyen6,Student6,student6@example.com,2002-10-19,Ha Noi,7.8,4.3
SV007,Nguyen7,Student7,student7@example.com,2000-07-28,Ha Noi,9.1,6.5
SV008,Nguyen8,Student8,student8@example.com,2001-10-15,Ha Noi,5.9,5.2
SV009,Nguyen9,Student9,student9@example.com,2004-02-23,Ha Noi,8.9,8.3
SV010,Nguyen10,Student10,student10@example.com,2002-10-19,Ha Noi,4.2,9.1
SV011,Nguyen11,Student11,student11@example.com,2002-06-30,Ha Noi,8.7,8.4
SV012,Nguyen12,Student12,student12@example.com,1998-12-16,Ha Noi,4.3,6.7
SV013,Nguyen13,Student13,student13@example.com,2000-10-09,Ha Noi,6.1,7.1
SV014,Nguyen14,Student14,student14@example.com,2006-03-04,Ha Noi,6.5,5.6
SV015,Nguyen15,Student15,student15@example.com,1998-10-10,Ha Noi,4.2,7.9
SV016,Nguyen16,Student16,student16@example.com,2002-08-26,Ha Noi,7.2,9.2
SV017,Nguyen17,Student17,student17@example.com,2003-12-13,Ha Noi,5.3,7.6
SV018,Nguyen18,Student18,student18@example.com,2002-04-22,Ha Noi,7.0,6.1
SV019,Nguyen19,Student19,student19@example.com,1999-10-11,Ha Noi,8.3,6.3
SV020,Nguyen20,Student20,student20@example.com,2004-12-30,Ha Noi,4.2,8.7
SV021,Nguyen21,Student21,student21@example.com,2005-10-08,Ha Noi,6.5,6.3
SV022,Nguyen22,Student22,student22@example.com,2001-05-20,Ha Noi,8.5,4.7
SV023,Nguyen23,Student23,student23@example.com,2000-11-28,Ha Noi,8.9,9.1
SV024,Nguyen24,Student24,student24@example.com,2000-09-14,Ha Noi,7.6,8.1
SV025,Nguyen25,Student25,student25@example.com,2001-10-21,Ha Noi,5.6,6.4
SV026,Nguyen26,Student26,student26@example.com,2000-11-07,Ha Noi,9.4,4.4
SV027,Nguyen27,Student27,student27@example.com,2001-11-02,Ha Noi,9.9,8.7
SV028,Nguyen28,Student28,student28@example.com,2002-12-11,Ha Noi,9.1,5.7
SV029,Nguyen29,Student29,student29@example.com,2002-04-26,Ha Noi,8.2,9.9
SV030,Nguyen30,Student30,student30@example.com,1999-09-09,Ha Noi,5.2,8.4
SV031,Nguyen31,Student31,student31@example.com,2001-11-12,Ha Noi,8.6,8.1
SV032,Nguyen32,Student32,student32@example.com,2004-07-01,Ha Noi,9.5,9.6
SV033,Nguyen33,Student33,student33@example.com,2004-01-01,Ha Noi,5.5,7.8
SV034,Nguyen34,Student34,student34@example.com,2002-10-20,Ha Noi,8.8,5.3
SV035,Nguyen35,Student35,student35@example.com,2000-07-23,Ha Noi,8.0,4.8
SV036,Nguyen36,Student36,student36@example.com,2002-12-21,Ha Noi,6.0,8.3
SV037,Nguyen37,Student37,student37@example.com,2003-06-08,Ha Noi,9.1,4.8
SV038,Nguyen38,Student38,student38@example.com,2003-09-03,Ha Noi,5.2,6.9
SV039,Nguyen39,Student39,student39@example.com,2000-07-12,Ha Noi,7.6,5.2
SV040,Nguyen40,Student40,student40@example.com,2000-03-18,Ha Noi,4.4,5.1
SV041,Nguyen41,Student41,student41@example.com,2002-05-14,Ha Noi,9.6,8.4
SV042,Nguyen42,Student42,student42@example.com,2000-10-20,Ha Noi,7.6,4.6
SV043,Nguyen43,Student43,student43@example.com,2000-05-03,Ha Noi,7.5,6.2
SV044,Nguyen44,Student44,student44@example.com,1998-05-24,Ha Noi,7.6,7.8
SV045,Nguyen45,Student45,student45@example.com,2002-04-09,Ha Noi,7.0,8.1
SV046,Nguyen46,Student46,student46@example.com,2001-02-08,Ha Noi,5.7,4.1
SV047,Nguyen47,Student47,student47@example.com,2005-09-16,Ha Noi,6.2,4.9
SV048,Nguyen48,Student48,student48@example.com,1999-12-12,Ha Noi,9.0,5.1
SV049,Nguyen49,Student49,student49@example.com,2003-06-30,Ha Noi,4.0,8.6
SV050,Nguyen50,Student50,student50@example.com,2002-10-20,Ha Noi,8.9,9.9
SV051,Nguyen51,Student51,student51@example.com,2000-06-07,Ha Noi,5.8,8.1
SV052,Nguyen52,Student52,student52@example.com,2001-03-20,Ha Noi,4.6,5.4
SV053,Nguyen53,Student53,student53@example.com,2003-05-24,Ha Noi,9.9,4.3
SV054,Nguyen54,Student54,student54@example.com,1998-07-15,Ha Noi,4.6,5.9
SV055,Nguyen55,Student55,student55@example.com,2004-03-04,Ha Noi,4.8,7.8
SV056,Nguyen56,Student56,student56@example.com,2004-05-19,Ha Noi,8.7,5.5
SV057,Nguyen57,Student57,student57@example.com,1998-11-02,Ha Noi,4.8,5.5
SV058,Nguyen58,Student58,student58@example.com,2003-01-01,Ha Noi,8.0,7.7
SV059,Nguyen59,Student59,student59@example.com,2000-03-02,Ha Noi,5.5,7.7
SV060,Nguyen60,Student60,student60@example.com,2005-06-14,Ha Noi,8.2,6.3
SV061,Nguyen61,Student61,student61@example.com,1999-12-16,Ha Noi,8.1,9.5
SV062,Nguyen62,Student62,student62@example.com,2000-12-11,Ha Noi,8.1,4.5
SV063,Nguyen63,Student63,student63@example.com,2000-10-07,Ha Noi,6.2,6.3
